gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1837744031,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524326,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.568672,78.045016,133224,NA,NA,NA,NA,NA,2017-03-31,31,3,2017,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524326,NA,cnarraway,2018-03-31T12:37:30Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:46Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837744025,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524310,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.500281,78.049718,133224,NA,NA,NA,NA,NA,2016-12-30,30,12,2016,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524310,NA,cnarraway,2018-03-31T12:37:24Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:18:45Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837744015,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524322,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.56474,78.126819,133224,NA,NA,NA,NA,NA,2011-02-17,17,2,2011,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524322,NA,cnarraway,2018-03-31T12:37:28Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837744013,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524328,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.438622,78.176899,133224,NA,NA,NA,NA,NA,2015-05-06,6,5,2015,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524328,NA,cnarraway,2018-03-31T12:37:30Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:46Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743992,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524324,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.408791,78.08172,133224,NA,NA,NA,NA,NA,2016-03-06,6,3,2016,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524324,NA,cnarraway,2018-03-31T12:37:29Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:46Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743991,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524307,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.523372,78.14528,133224,NA,NA,NA,NA,NA,2016-12-30,30,12,2016,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524307,NA,cnarraway,2018-03-31T12:37:22Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:18:42Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743980,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524305,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.586578,78.021398,133224,NA,NA,NA,NA,NA,2015-05-06,6,5,2015,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524305,NA,cnarraway,2018-03-31T12:37:22Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:18:44Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743974,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524323,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.523299,78.155887,133224,NA,NA,NA,NA,NA,2016-12-30,30,12,2016,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524323,NA,cnarraway,2018-03-31T12:37:29Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:44Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743962,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524321,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.588164,78.022104,133224,NA,NA,NA,NA,NA,2015-05-05,5,5,2015,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524321,NA,cnarraway,2018-03-31T12:37:28Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:06Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743910,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524325,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.556577,78.143443,133224,NA,NA,NA,NA,NA,2017-05-24,24,5,2017,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524325,NA,cnarraway,2018-03-31T12:37:29Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:48Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1837743903,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/10524327,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.449439,78.091999,133224,NA,NA,NA,NA,NA,2015-02-20,20,2,2015,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,10524327,NA,cnarraway,2018-03-31T12:37:30Z,CC_BY_NC_4_0,cnarraway,cnarraway,NA,NA,2025-10-20T19:22:48Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1677291919,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/8376833,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Panthera uncia (Schreber, 1775)",Panthera uncia,NA,IN,,Jammu and Kashmir,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.032847,77.504352,28874,NA,NA,NA,NA,NA,2016-02-16T14:15,16,2,2016,5787213,2435238,HUMAN_OBSERVATION,iNaturalist,Observations,8376833,NA,pfaucher,2017-10-12T21:09:01Z,CC_BY_NC_4_0,pfaucher,pfaucher,NA,NA,2025-10-20T20:41:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1320582826,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/395883bfc-6cf9-4bb3-b9b4-13f404ae6a74,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,Uncia uncia,NA,SPECIES,"Uncia uncia (Schreber, 1775)",Uncia uncia,NA,PK,"Basha Valley, Sin Chikar, 2 Mi Below Arandu",Gilgit-Baltistan,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,35.8692,75.3698,NA,NA,2896,NA,NA,NA,1912-09-17,17,9,1912,2435238,2435238,PRESERVED_SPECIMEN,USNM,MAMM,USNM 176048,7952,,NA,CC0_1_0,,W. Abbott,NA,NA,2025-10-07T13:44:15Z,StillImage,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
